SALESORDERID,CREATEDBY,CREATEDAT,CHANGEDBY,CHANGEDAT,FISCVARIANT,FISCALYEARPERIOD,NOTEID,PARTNERID,SALESORG,CURRENCY,GROSSAMOUNT,NETAMOUNT,TAXAMOUNT,LIFECYCLESTATUS,BILLINGSTATUS,DELIVERYSTATUS
500000251,5,20240204,5,20240208,K4,2019002,,100000024,APJ,USD,29394,25719.75,3674.25,C,C,C
500000252,8,20240204,8,20240208,K4,2019002,,100000006,EMEA,USD,67009,58632.875,8376.125,C,C,C
500000253,6,20240205,6,20240206,K4,2019002,,100000010,EMEA,USD,23683,20722.625,2960.375,C,C,C
500000254,8,20240207,8,20240211,K4,2019002,,100000011,EMEA,USD,1596,1396.5,199.5,C,C,C
500000255,3,20240210,3,20240213,K4,2019002,,100000036,EMEA,USD,77608,67907.0,9701.0,C,C,C
500000256,8,20240210,8,20240213,K4,2019002,,100000013,EMEA,USD,157261,137603.375,19657.625,C,C,C
500000257,8,20240210,8,20240211,K4,2019002,,100000035,EMEA,USD,8266,7232.75,1033.25,C,C,C
500000258,2,20240212,2,20240217,K4,2019002,,100000009,EMEA,USD,16399,14349.125,2049.875,C,C,C
500000259,6,20240215,6,20240216,K4,2019002,,100000035,EMEA,USD,73573,64376.375,9196.625,C,C,C
500000260,2,20240217,2,20240219,K4,2019002,,100000025,EMEA,USD,101024,88396.0,12628.0,C,C,C
500000261,4,20240219,4,20240223,K4,2019002,,100000019,APJ,USD,82217,71939.875,10277.125,C,C,C
500000262,2,20240222,2,20240224,K4,2019002,,100000013,EMEA,USD,107652,94195.5,13456.5,C,C,C
500000263,3,20240222,3,20240226,K4,2019002,,100000013,EMEA,USD,43992,38493.0,5499.0,C,C,C
500000264,5,20240225,5,20240228,K4,2019002,,100000019,APJ,USD,64578,56505.75,8072.25,C,C,C
500000265,11,20240227,11,20240303,K4,2019002,,100000002,AMER,USD,126885,111024.375,15860.625,C,C,C
500000266,1,20240228,1,20240305,K4,2019002,,100000001,AMER,USD,10998,9623.25,1374.75,C,C,C
500000267,4,20240303,4,20240305,K4,2019003,,100000018,APJ,USD,71977,62979.875,8997.125,C,C,C
500000268,4,20240306,4,20240308,K4,2019003,,100000019,APJ,USD,71677,62717.375,8959.625,C,C,C
500000269,8,20240308,8,20240310,K4,2019003,,100000026,EMEA,USD,51832,45353.0,6479.0,C,C,C
500000270,3,20240311,3,20240315,K4,2019003,,100000013,EMEA,USD,135856,118874.0,16982.0,C,C,C
500000271,5,20240314,5,20240319,K4,2019003,,100000022,APJ,USD,6384,5586.0,798.0,C,C,C
500000272,5,20240316,5,20240320,K4,2019003,,100000020,APJ,USD,133010,116383.75,16626.25,C,C,C
500000273,14,20240318,14,20240322,K4,2019003,,100000032,AMER,USD,153073,133938.875,19134.125,C,C,C
500000274,9,20240321,9,20240326,K4,2019003,,100000030,AMER,USD,84470,73911.25,10558.75,C,C,C
500000275,4,20240323,4,20240324,K4,2019003,,100000016,APJ,USD,34807,30456.125,4350.875,C,C,C
500000276,4,20240324,4,20240326,K4,2019003,,100000024,APJ,USD,125849,110117.875,15731.125,C,C,C
500000277,8,20240327,8,20240331,K4,2019003,,100000009,EMEA,USD,45986,40237.75,5748.25,C,C,C
500000278,8,20240328,8,20240330,K4,2019003,,100000013,EMEA,USD,23155,20260.625,2894.375,C,C,C
500000279,1,20240331,1,20240403,K4,2019003,,100000033,AMER,USD,50696,44359.0,6337.0,C,C,C
500000280,2,20240402,2,20240406,K4,2019004,,100000038,EMEA,USD,71416,62489.0,8927.0,C,C,C
500000281,13,20240404,13,20240405,K4,2019004,,100000033,AMER,USD,82497,72184.875,10312.125,C,C,C
500000282,5,20240407,5,20240410,K4,2019004,,100000023,APJ,USD,182951,160082.125,22868.875,C,C,C
500000283,1,20240410,1,20240411,K4,2019004,,100000033,AMER,USD,6201,5425.875,775.125,C,C,C
500000284,10,20240410,10,20240412,K4,2019004,,100000004,AMER,USD,64502,56439.25,8062.75,C,C,C
500000285,2,20240411,2,20240412,K4,2019004,,100000027,EMEA,USD,53005,46379.375,6625.625,C,C,C
500000286,12,20240414,12,20240415,K4,2019004,,100000032,AMER,USD,11580,10132.5,1447.5,C,C,C
500000287,5,20240417,5,20240422,K4,2019004,,100000024,APJ,USD,79400,69475.0,9925.0,C,C,C
500000288,3,20240418,3,20240419,K4,2019004,,100000025,EMEA,USD,28587,25013.625,3573.375,C,C,C
500000289,6,20240419,6,20240420,K4,2019004,,100000008,EMEA,USD,6687,5851.125,835.875,C,C,C
500000290,2,20240420,2,20240422,K4,2019004,,100000005,EMEA,USD,130393,114093.875,16299.125,C,C,C
500000291,3,20240422,3,20240425,K4,2019004,,100000006,EMEA,USD,115202,100801.75,14400.25,C,C,C
500000292,7,20240423,7,20240427,K4,2019004,,100000032,AMER,USD,14095,12333.125,1761.875,C,C,C
500000293,12,20240426,12,20240501,K4,2019004,,100000004,AMER,USD,123584,108136.0,15448.0,C,C,C
500000294,8,20240429,8,20240503,K4,2019004,,100000006,EMEA,USD,66763,58417.625,8345.375,C,C,C
500000295,8,20240429,8,20240502,K4,2019004,,100000011,EMEA,USD,36979,32356.625,4622.375,C,C,C
500000296,3,20240429,3,20240502,K4,2019004,,100000039,EMEA,USD,96921,84805.875,12115.125,C,C,C
500000297,11,20240501,11,20240503,K4,2019005,,100000003,AMER,USD,68558,59988.25,8569.75,C,C,C
500000298,2,20240502,2,20240507,K4,2019005,,100000028,EMEA,USD,13345,11676.875,1668.125,C,C,C
500000299,4,20240504,4,20240509,K4,2019005,,100000019,APJ,USD,110679,96844.125,13834.875,C,C,C
500000300,9,20240507,9,20240509,K4,2019005,,100000004,AMER,USD,145567,127371.125,18195.875,C,C,C
500000301,2,20240508,2,20240510,K4,2019005,,100000013,EMEA,USD,20968,18347.0,2621.0,C,C,C
500000302,6,20240510,6,20240512,K4,2019005,,100000037,EMEA,USD,62193,54418.875,7774.125,C,C,C
500000303,13,20240512,13,20240513,K4,2019005,,100000002,AMER,USD,74136,64869.0,9267.0,C,C,C
500000304,12,20240515,12,20240519,K4,2019005,,100000033,AMER,USD,95667,83708.625,11958.375,C,C,C
500000305,7,20240515,7,20240517,K4,2019005,,100000030,AMER,USD,150631,131802.125,18828.875,C,C,C
500000306,2,20240516,2,20240520,K4,2019005,,100000035,EMEA,USD,92625,81046.875,11578.125,C,C,C
500000307,13,20240519,13,20240521,K4,2019005,,100000002,AMER,USD,49093,42956.375,6136.625,C,C,C
500000308,9,20240519,9,20240522,K4,2019005,,100000001,AMER,USD,137532,120340.5,17191.5,X,X,X
500000309,5,20240521,5,20240525,K4,2019005,,100000021,APJ,USD,67219,58816.625,8402.375,C,C,C
500000310,1,20240524,1,20240529,K4,2019005,,100000004,AMER,USD,49893,43656.375,6236.625,I,C,I
500000311,5,20240524,5,20240525,K4,2019005,,100000016,APJ,USD,44627,39048.625,5578.375,C,C,C
500000312,8,20240525,8,20240527,K4,2019005,,100000008,EMEA,USD,55065,48181.875,6883.125,C,C,C
500000313,2,20240528,2,20240530,K4,2019005,,100000011,EMEA,USD,73561,64365.875,9195.125,C,C,C
500000314,6,20240530,6,20240603,K4,2019005,,100000039,EMEA,USD,39905,34916.875,4988.125,I,I,I
500000315,4,20240531,4,20240604,K4,2019005,,100000024,APJ,USD,38783,33935.125,4847.875,C,C,C
500000316,2,20240602,2,20240604,K4,2019006,,100000029,EMEA,USD,2880,2520.0,360.0,I,I,I
500000317,10,20240602,10,20240604,K4,2019006,,100000031,AMER,USD,16196,14171.5,2024.5,I,I,C
500000318,5,20240605,5,20240608,K4,2019006,,100000022,APJ,USD,124157,108637.375,15519.625,I,I,I
500000319,5,20240608,5,20240609,K4,2019006,,100000024,APJ,USD,53533,46841.375,6691.625,I,I,C
500000320,8,20240610,8,20240615,K4,2019006,,100000013,EMEA,USD,37505,32816.875,4688.125,I,I,C
500000321,2,20240612,2,20240615,K4,2019006,,100000005,EMEA,USD,123784,108311.0,15473.0,I,I,C
500000322,8,20240615,8,20240618,K4,2019006,,100000036,EMEA,USD,43268,37859.5,5408.5,I,I,C
500000323,8,20240615,8,20240617,K4,2019006,,100000037,EMEA,USD,100036,87531.5,12504.5,I,I,C
500000324,6,20240616,6,20240617,K4,2019006,,100000013,EMEA,USD,13777,12054.875,1722.125,I,I,C
500000325,13,20240617,13,20240621,K4,2019006,,100000001,AMER,USD,87591,76642.125,10948.875,I,I,C
500000326,13,20240617,13,20240618,K4,2019006,,100000004,AMER,USD,54809,47957.875,6851.125,I,I,C
500000327,1,20240617,1,20240622,K4,2019006,,100000003,AMER,USD,17066,14932.75,2133.25,I,I,I
500000328,8,20240618,8,20240620,K4,2019006,,100000036,EMEA,USD,11016,9639.0,1377.0,I,I,I
500000329,7,20240619,7,20240620,K4,2019006,,100000031,AMER,USD,90621,79293.375,11327.625,I,I,C
500000330,11,20240622,11,20240626,K4,2019006,,100000000,AMER,USD,113871,99637.125,14233.875,I,I,C
500000331,3,20240625,3,20240626,K4,2019006,,100000009,EMEA,USD,12693,11106.375,1586.625,I,I,I
500000332,13,20240627,13,20240701,K4,2019006,,100000034,AMER,USD,70528,61712.0,8816.0,I,I,C
500000333,5,20240627,5,20240701,K4,2019006,,100000022,APJ,USD,16576,14504.0,2072.0,I,I,I
